Royal,Deity,Edge weight,,Royal,Deity,Edge weight,,Royal,Deity,Edge weight,,Royal,Deity,Edge weight,,Royal,Deity,Edge weight
,,,,Sennacherib,Ištar-Bit-Kidmuri,0.001199,,Esarhaddon,Ningal,0.001016,,Ashurbanipal,Ištar-Uruk,0.001695,,,,
,,,,Sennacherib,Kippat-mati,0.001199,,Esarhaddon,Asalluhi,0.001016,,Ashurbanipal,Tašmetu,0.001695,,,,
,,,,Sennacherib,Madanu,0.001199,,Esarhaddon,Belet-ili,0.001016,,Ashurbanipal,Gula,0.001271,,,,
,,,,Sennacherib,Tišpak,0.001199,,Esarhaddon,Dagan,0.001016,,Ashurbanipal,Nudimmud,0.001271,,,,
,,,,,,,,Esarhaddon,Iqbi-damiq,0.001016,,Ashurbanipal,Palil,0.001271,,,,
,,,,,,,,Esarhaddon,Kusu,0.001016,,Ashurbanipal,Girra,0.000847,,,,
,,,,,,,,Esarhaddon,Ningirim,0.001016,,Ashurbanipal,Šeruʾa,0.000847,,,,
,,,,,,,,,,,,Ashurbanipal,Belet-parṣi,0.000424,,,,
,,,,,,,,,,,,Ashurbanipal,Anunnaki,0.000424,,,,
,,,,,,,,,,,,Ashurbanipal,Belet-Babili,0.000424,,,,
,,,,,,,,,,,,Ashurbanipal,Igigi,0.000424,,,,
,,,,,,,,,,,,Ashurbanipal,Šakkan,0.000424,,,,
