Name,Absolute frequency,Relative frequency
MAR.HAL.KAL_d,1,0.00
Mar-biti-ša-pan-biti_d,1,0.00
Mar-biti-ša-birit-nari_d,1,0.00
Marʾat-šari_d,1,0.00
Marat-Eridu_d,1,0.00
Manziniri_d,1,0.00
Mammetu_d,1,0.00
Makurru_d,1,0.00
Mahza_d,1,0.00
Mahdiʾanak_d,1,0.00
Mahana_d,1,0.00
Magur_d,1,0.00
Magiru_d,1,0.00
Madanunu_d,1,0.00
Ma_d,1,0.00
Mabandaʾana_d,1,0.00
Lu-Ninlila_d,1,0.00
Lulu_d,1,0.00
Lulil_d,1,0.00
Lulal_d,1,0.00
Lulaku_d,1,0.00
Luhursaŋ_d,1,0.00
Lugula_d,1,0.00
Lugalusušagpiriŋ_d,1,0.00
Lugaluša_d,1,0.00
LugalUrim_d,1,0.00
LugalTintir_d,1,0.00
Lugaltilla_d,1,0.00
Lugalšunugia_d,1,0.00
Lugalšuana_d,1,0.00
Lugalšinig_d,1,0.00
Lugalšenšena_d,1,0.00
Lugalsaŋnugia_d,1,0.00
Lugalnirŋal_d,1,0.00
Lugalniŋsaga_d,1,0.00
Lugal-NI-ba-DU_d,1,0.00
Lugalŋešsuga_d,1,0.00
Lugalŋešnua_d,1,0.00
Lugalŋešdua_d,1,0.00
Lugalnamena_d,1,0.00
Lugalmagure_d,1,0.00
LugalKullab_d,1,0.00
Lugalkalamautud_d,1,0.00
Lugal-KA-gina_d,1,0.00
LugalIsin_d,1,0.00
Lugalirišaga_d,1,0.00
Lugaliribara_d,1,0.00
Lugalilduma_d,1,0.00
Lugaligikuramahdi_d,1,0.00
Lugaligihura_d,1,0.00
Lugalgudgaz_d,1,0.00
Lugalgalama_d,1,0.00
Lugalegpara_d,1,0.00
Lugaldurmah_d,1,0.00
Lugaldubur_d,1,0.00
Lugalduburana_d,1,0.00
Lugal_d,1,0.00
LugalBadtibira_d,1,0.00
Lugalasal_d,1,0.00
Lugalankia_d,1,0.00
Lugalamura_d,1,0.00
Lillu_d,1,0.00
Lalhurgalzu_d,1,0.00
Lahuratil_d,1,0.00
Lahmani-ṣalmu_d,1,0.00
Laguda_d,1,0.00
Labranu_d,1,0.00
Labbatum_d,1,0.00
Labaṣu_d,1,0.00
Kutušar_d,1,0.00
Kušzimahana_d,1,0.00
Kurunitum_d,1,0.00
Kurunam_d,1,0.00
Kurriba_d,1,0.00
Kurgal_d,1,0.00
Kunzibami_d,1,0.00
Kumarwi_d,1,0.00
Kullab_d,1,0.00
Kulianak_d,1,0.00
Kulab_d,1,0.00
KU-kita_d,1,0.00
Kuddinitu_d,1,0.00
KU-ana_d,1,0.00
Kizaza_d,1,0.00
Kiʾugu_d,1,0.00
Kišargal_d,1,0.00
Kisa_d,1,0.00
KIN-šuil_d,1,0.00
KinnuSUM_d,1,0.00
Kingu_d,1,0.00
Kihul_d,1,0.00
Kaššitu_d,1,0.00
KA.ŠID.erim₂_d,1,0.00
Karšul_d,1,0.00
Karae_d,1,0.00
Kanitu_d,1,0.00
Kalluh_d,1,0.00
KAK-KAK_d,1,0.00
Kabtazibta_d,1,0.00
Kabaʾanianakenukuru_d,1,0.00
Ittalad-ilani_d,1,0.00
Ištar-Tuyat_d,1,0.00
Ištar-raṭi_d,1,0.00
Ištar-Pinas_d,1,0.00
Ištar-niru_d,1,0.00
Ištar-niphu_d,1,0.00
Ištar-nimru_d,1,0.00
Ištar-neše_d,1,0.00
Ištar-Muṣur_d,1,0.00
Ištar-Kar-Tukulti-Ninurta_d,1,0.00
Ištar-Ekur_d,1,0.00
Ištar-bītu&&mayyālu_d,1,0.00
Ištar-anze_d,1,0.00
Išqippu_d,1,0.00
Išar-neriššu_d,1,0.00
Iriula_d,1,0.00
Irialšara_d,1,0.00
Irhan-GUL_d,1,0.00
Irhan_d,1,0.00
Inurta-ša-duri_d,1,0.00
Inimagur_d,1,0.00
Indagara_d,1,0.00
Imin_d,1,0.00
Ilušaga_d,1,0.00
Iltu_d,1,0.00
Iltanati_d,1,0.00
Il-mišaru_d,1,0.00
IlHallabu_d,1,0.00
IlHalab_d,1,0.00
Ilaba_d,1,0.00
Igkuga_d,1,0.00
Igisigsig_d,1,0.00
IGI.DU.diŋir.e.ne_d,1,0.00
IGI-DU_d,1,0.00
IGI.DU.an.na_d,1,0.00
IGI.BI.LI.ME_d,1,0.00
Iggala_d,1,0.00
Iganaŋala_d,1,0.00
Iganakešda_d,1,0.00
Idsilim_d,1,0.00
Idgal_d,1,0.00
Idatu_d,1,0.00
Iblaitu_d,1,0.00
Ibdukuga_d,1,0.00
Hušbisag_d,1,0.00
Hurabtil_d,1,0.00
Humunṣir_d,1,0.00
Hubur_d,1,0.00
Heŋalnuna_d,1,0.00
Hengallu_d,1,0.00
Hendursaŋak_d,1,0.00
Heduana_d,1,0.00
Hanibiya_d,1,0.00
Hamun_d,1,0.00
Hamunana_d,1,0.00
Hallasua_d,1,0.00
Hallasia_d,1,0.00
Halhal_d,1,0.00
Haldi-aṣira_d,1,0.00
Halankug_d,1,0.00
Haburtu_d,1,0.00
Habur_d,1,0.00
Habiru_d,1,0.00
Gušea_d,1,0.00
Gušaya_d,1,0.00
Gugkala_d,1,0.00
Gugalana_d,1,0.00
Gubagararae_d,1,0.00
Gišnumunab_d,1,0.00
Gisaʾana_d,1,0.00
Girtablilu_d,1,0.00
GIRI₃.BAL.U₂_d,1,0.00
Gemedukuga_d,1,0.00
Gašanurme_d,1,0.00
Gašanurgal_d,1,0.00
Gašanudzale_d,1,0.00
GašanTintir_d,1,0.00
Gašansun_d,1,0.00
Gašansimarana_d,1,0.00
Gašansikila_d,1,0.00
Gašanšar_d,1,0.00
GašanSAR_d,1,0.00
Gašannisaba_d,1,0.00
GašanNibru_d,1,0.00
Gašannanibgal_d,1,0.00
Gašannammu_d,1,0.00
Gašanmug_d,1,0.00
Gašanmada_d,1,0.00
Gašanlil_d,1,0.00
Gašanki_d,1,0.00
Gašankatešasiga_d,1,0.00
Gašankasi_d,1,0.00
Gašankašbaranki_d,1,0.00
Gašanisina_d,1,0.00
Gašanhursaŋkalama_d,1,0.00
Gašangirgilum_d,1,0.00
Gašaneturkalama_d,1,0.00
Gašanbaragesi_d,1,0.00
Gašanamaškuga_d,1,0.00
Gašanabzu_d,1,0.00
Gašanabdubur_d,1,0.00
Ganasi_d,1,0.00
GAL.MU_d,1,0.00
Galaruru_d,1,0.00
Galaria_d,1,0.00
GA₂.GA₂_d,1,0.00
Eziranu_d,1,0.00
E-turammi_d,1,0.00
Eṭirtu_d,1,0.00
Etamitum_d,1,0.00
Eš.še.KU_d,1,0.00
Erra-Babba_d,1,0.00
Erišu_d,1,0.00
Equ_d,1,0.00
Epadun_d,1,0.00
Enza_d,1,0.00
Enurta_d,1,0.00
Enuri_d,1,0.00
En.TI_d,1,0.00
Ensimah_d,1,0.00
Ensigalabzu_d,1,0.00
Enšada_d,1,0.00
Ennugigi_d,1,0.00
Enmelulu_d,1,0.00
Enlil-qarrad_d,1,0.00
Enlillugalzi_d,1,0.00
Enkurkur_d,1,0.00
Enkišar_d,1,0.00
Enhuŋ_d,1,0.00
Enhuŋa-KU_d,1,0.00
Engišgalanna_d,1,0.00
Enganu_d,1,0.00
Eŋaluzu_d,1,0.00
Enengur_d,1,0.00
EN-edina_d,1,0.00
Endaranuna_d,1,0.00
Endarabanda_d,1,0.00
Endaga_d,1,0.00
En-BU-dudu_d,1,0.00
Enbiluha_d,1,0.00
Enbibi_d,1,0.00
Enbanda_d,1,0.00
Enarhušdim_d,1,0.00
Enanun_d,1,0.00
Enanki_d,1,0.00
Enabzu_d,1,0.00
Ella-me_d,1,0.00
Ekid_d,1,0.00
Egpa_d,1,0.00
EgiTummal_d,1,0.00
Ea-kittu_d,1,0.00
Duttur_d,1,0.00
DU.SI.KA.MEŠ_d,1,0.00
Durahmah_d,1,0.00
DurahEridu_d,1,0.00
Durahdim_d,1,0.00
Durah_d,1,0.00
Durahbanda_d,1,0.00
Durahabzu_d,1,0.00
Dullum_d,1,0.00
DuHallab_d,1,0.00
Dinitu_d,1,0.00
Dingirtušu_d,1,0.00
Dimme_d,1,0.00
Dimmea_d,1,0.00
Dimeš_d,1,0.00
Dilbat_d,1,0.00
Dikudmah_d,1,0.00
Dayani-ṣalmi_d,1,0.00
Daragal_d,1,0.00
DARA₃.DIL.KI_d,1,0.00
Dannina_d,1,0.00
Damka_d,1,0.00
Dakbak_d,1,0.00
Daʾiktu_d,1,0.00
Dahurate_d,1,0.00
Daguna_d,1,0.00
Burruqu_d,1,0.00
Buriaš_d,1,0.00
Bitu-šemi_d,1,0.00
Biṣillu_d,1,0.00
Biruwa_d,1,0.00
Binduku_d,1,0.00
Bidu_d,1,0.00
Bel-uri_d,1,0.00
Beltu-ša-Reš_d,1,0.00
Belet-šame_d,1,0.00
Belet-parakki_d,1,0.00
Belet-erṣeti_d,1,0.00
Belet-biri_d,1,0.00
Belet-ali_d,1,0.00
Belet-adqat_d,1,0.00
Bēl_d,1,0.00
Bel-Babili_d,1,0.00
Baʾulu_d,1,0.00
BALAG.En.lil₂_d,1,0.00
Bab-ili_d,1,0.00
Bab-balaṭi_d,1,0.00
Baʾal-Ṣapunu_d,1,0.00
Baʾal-Sameme_d,1,0.00
Baʾal-Malage_d,1,0.00
Az.SIG₇.a_d,1,0.00
Ayitu_d,1,0.00
A.ta.NAM.AN_d,1,0.00
Asuziba_d,1,0.00
Asu_d,1,0.00
Aššur-kuribu_d,1,0.00
Assara-mazaš_d,1,0.00
Ašnan_d,1,0.00
Ašlu_d,1,0.00
Ašdu_d,1,0.00
Aš_d,1,0.00
Ašaru_d,1,0.00
Armada_d,1,0.00
Ara_d,1,0.00
Anniurugal_d,1,0.00
Anni_d,1,0.00
Ankid_d,1,0.00
AN.KAL.da.kar.ra_d,1,0.00
Aŋsisa_d,1,0.00
Aŋagigduga_d,1,0.00
Amna_d,1,0.00
Amautudanki_d,1,0.00
Amatuda_d,1,0.00
Amaršuba_d,1,0.00
Amanirana_d,1,0.00
Amamedab_d,1,0.00
Amame-BAD_d,1,0.00
Amahtuku_d,1,0.00
Amaea_d,1,0.00
Ama_d,1,0.00
Amaʾabzikurkura_d,1,0.00
Allamu_d,1,0.00
Alim.U₈.gal_d,1,0.00
Alimsike_d,1,0.00
Alimnuna_d,1,0.00
Alimdurah_d,1,0.00
Alimbanda_d,1,0.00
Alania_d,1,0.00
Ahbutu_d,1,0.00
Agušaya_d,1,0.00
Agudu_d,1,0.00
Aginzamanuš_d,1,0.00
Aginsigeš_d,1,0.00
Agakuga_d,1,0.00
A-Eridu_d,1,0.00
Adŋirikud_d,1,0.00
Adgigi_d,1,0.00
Adgi_d,1,0.00
Addu_d,1,0.00
Adaene_d,1,0.00
Adad-ša-zunni_d,1,0.00
Adad-ša-Kumme_d,1,0.00
Adad-ša-Halbi_d,1,0.00
Abnarbu_d,1,0.00
Ablulu_d,1,0.00
Abkuga_d,1,0.00
Abkar_d,1,0.00
Abbagula_d,1,0.00
Abaralah_d,1,0.00
Ababasaga_d,1,0.00
