80,pahāru
79,bānû
79,bītu&&ridûtu
79,ebbu
79,šâtunu
78,dadmū
78,dagālu
78,etēqu
77,dekû
77,išdu
77,kirû
77,rēṣūtu
77,šarāku
77,tamšīlu
76,Amurru
76,birmu
76,lemnu
76,šitkunu
76,šutlumu
76,Tammaritu
75,hadîš
75,māru&&šarru
75,migru
75,mūšu
75,peṣû
75,šâtu
74,annaku
74,edû
74,kittu
74,mā
74,narû
74,retû
74,šaplû
74,Sin-ahhe-eriba
73,birīt
73,eṭlu
73,hīṭu
73,mālaku
73,nabnītu
73,Tukulti-Ninurta_II
72,iṣṣūru
72,šarāhu
72,sinništu
72,uznu
72,watāru
71,Ummanigaš
71,urhu
71,warû
70,Adad-nerari_III_RN
70,apsasû
70,banû
70,gapšu
70,kullumu
70,rīqu
70,tību
69,ašarēdu
69,rēmu
69,ṣippatu
69,timmu
69,Urtaku
68,balṭūtu
68,labāru
68,tamhāru
67,adāru
67,nāṣiru
67,palāsu
67,sīhu
67,tarṣu
66,eleppu
66,eršu
66,šatû
65,Aribi
65,dārītu
65,ginû
65,labāriš
65,nawru
65,Ursa
64,Baltil
64,kalāma
64,māmītu
64,nakāsu
64,parṣu
64,puhru
64,rapāšu
64,tamlīu
64,warādu
63,eššiš
63,ezzu
63,kitû
63,mašku
63,nasāhu
63,nīšu
63,patru
63,puluhtu
63,šalālu
63,ṣullû
63,Tašmetu_d
62,agurru
62,dabābu
62,dannatu
62,ewû
62,kitru
62,mundahṣu
61,arāku
61,Bit-Yakin
61,dāmu
61,Elamu
61,esēru
61,māgiru
61,uṣurtu
61,zakāru
61,Zarpanitu_d
60,ai
60,Bit-Adini
60,dārû
60,Ellipi
60,kabāsu
60,kāšidu
60,Kusu
60,nêru
60,nikiltu
60,pitqu
60,Šamaš-šuma-ukin
60,šumēlu
59,agû
59,akṣu
59,burāšu
59,namurratu
59,nisiqtu
59,pulhu
59,rēʾûtu
59,šâtina
59,sattukku
59,ṣimittu
58,awīlu
58,bahūlātu
58,birītu
58,dīnu
58,diqāru
58,enû
58,Gambulu
58,mātu
58,nagbu
58,Tarqu
58,uqnû
57,ahāzu
57,mazzāzu
57,qatû
57,rittu
57,ṣubātu
57,tabrītu
56,askuppu
56,aslu
56,dumqu
56,Ešarra
56,Igigi_d
56,mānu
56,naparkû
55,naʾdu
55,paqādu
55,qiāšu
55,ummu
54,balṭu
54,inbu
54,mamman
54,šarratu
54,tupšikku
53,aššatu
53,ayyābu
53,Dunanu
53,elēnu
53,KI.MIN
53,labšu
53,lawû
53,qanû
53,ṣiātu
53,ulla
52,Ahunu
52,Hubuškia
52,išti
52,kūnu
52,tamāhu
52,Ummanaldašu
51,aladlammû
51,Aššur-ahu-iddina
51,Aššur-naṣir-apli_II
51,dāgilu
51,hātu
51,leqû
51,mašû
51,mātu
51,rīmu
51,šību
51,šiknu
51,tuqumtu
50,Gilzanu
50,Kaldayu
50,labānu
50,misarru
50,qurādu
50,rasābu
50,sakāpu
50,Uruk
49,biblu
49,purussû
49,Ṣidunu
49,ṭūbu
48,karšu
48,kīniš
48,qinnu
48,šapliš
48,šūši
48,têrtu
48,ummiānu
48,ušmannu
48,wadû
47,aršu
47,Belet-ili_d
47,ekdu
47,gitmālu
47,šigaru
47,ṭiābu
47,waqru
46,abūbu
46,ebertān
46,habātu
46,hubtu
46,kisallu
46,labāšu
46,lēʾû
46,mīšaru
46,Nippur
46,Que
46,rāʾimu
46,ṣurru
46,ṭābtu
46,tarbītu
46,tibku
46,wardūtu
46,warkītu
45,abšānu
45,eliš
45,erbu
45,mukinnu
45,nakliš
45,râmu
45,rēṣu
45,Sippar
44,dišpu
44,pašqu
44,ridûtu
44,Suhu
43,Barsipa
43,imittu
43,Labnana
43,lapātu
43,namāšu
43,nashu
43,tadānu
43,û
43,Urarṭayu
43,zahalû
42,alālu
42,arbaʾu
42,erīšu
42,maršītu
42,milku
42,rakbû
42,šāninu
42,wasāmu
