word1	attr1	word2	attr2	word1 freq	word2 freq	bigram freq	score trimmed	distance	similarity	period	genre	combined	url
Adad-nerari_III_RN	[?]	Shalmaneser_III_RN	[?]	85	1991	3	0.001		0				https://korp.csc.fi/test-as/?mode=other_languages#?lang=fi&stats_reduce=word&cqp=%5Blemma%20%3D%20%22Adad-nerari_IIIN%22%5D%20%5B%5D%7B0,8%7D%20%5Blemma%20%3D%20%22Shalmaneser_IIIN%22%5D&corpus=oracc_adsd,oracc_ario,oracc_blms,oracc_cams,oracc_caspo,oracc_ctij,oracc_dcclt,oracc_dccmt,oracc_ecut,oracc_etcsri,oracc_hbtin,oracc_obmc,oracc_riao,oracc_ribo,oracc_rimanum,oracc_rinap,oracc_saao,oracc_others&search_tab=1&search=cqp&within=paragraph
Adad-nerari_II_RN	[?]	Adad-nerari_II_RN	[?]	205	205	224	0.121		0				https://korp.csc.fi/test-as/?mode=other_languages#?lang=fi&stats_reduce=word&cqp=%5Blemma%20%3D%20%22Adad-nerari_IIN%22%5D%20%5B%5D%7B0,8%7D%20%5Blemma%20%3D%20%22Adad-nerari_IIN%22%5D&corpus=oracc_adsd,oracc_ario,oracc_blms,oracc_cams,oracc_caspo,oracc_ctij,oracc_dcclt,oracc_dccmt,oracc_ecut,oracc_etcsri,oracc_hbtin,oracc_obmc,oracc_riao,oracc_ribo,oracc_rimanum,oracc_rinap,oracc_saao,oracc_others&search_tab=1&search=cqp&within=paragraph
Adad-nerari_II_RN	[?]	Aššur_d	[?]	205	1906	16	0.003		0				https://korp.csc.fi/test-as/?mode=other_languages#?lang=fi&stats_reduce=word&cqp=%5Blemma%20%3D%20%22Adad-nerari_IIN%22%5D%20%5B%5D%7B0,8%7D%20%5Blemma%20%3D%20%22A%C5%A1%C5%A1ur%22%5D&corpus=oracc_adsd,oracc_ario,oracc_blms,oracc_cams,oracc_caspo,oracc_ctij,oracc_dcclt,oracc_dccmt,oracc_ecut,oracc_etcsri,oracc_hbtin,oracc_obmc,oracc_riao,oracc_ribo,oracc_rimanum,oracc_rinap,oracc_saao,oracc_others&search_tab=1&search=cqp&within=paragraph
Adad-nerari_II_RN	[?]	Girra_d	[?]	205	9	1	0.003		0				https://korp.csc.fi/test-as/?mode=other_languages#?lang=fi&stats_reduce=word&cqp=%5Blemma%20%3D%20%22Adad-nerari_IIN%22%5D%20%5B%5D%7B0,8%7D%20%5Blemma%20%3D%20%22Girra%22%5D&corpus=oracc_adsd,oracc_ario,oracc_blms,oracc_cams,oracc_caspo,oracc_ctij,oracc_dcclt,oracc_dccmt,oracc_ecut,oracc_etcsri,oracc_hbtin,oracc_obmc,oracc_riao,oracc_ribo,oracc_rimanum,oracc_rinap,oracc_saao,oracc_others&search_tab=1&search=cqp&within=paragraph
Adad-nerari_II_RN	[?]	Gula_d	[?]	205	29	2	0.003		0				https://korp.csc.fi/test-as/?mode=other_languages#?lang=fi&stats_reduce=word&cqp=%5Blemma%20%3D%20%22Adad-nerari_IIN%22%5D%20%5B%5D%7B0,8%7D%20%5Blemma%20%3D%20%22Gula%22%5D&corpus=oracc_adsd,oracc_ario,oracc_blms,oracc_cams,oracc_caspo,oracc_ctij,oracc_dcclt,oracc_dccmt,oracc_ecut,oracc_etcsri,oracc_hbtin,oracc_obmc,oracc_riao,oracc_ribo,oracc_rimanum,oracc_rinap,oracc_saao,oracc_others&search_tab=1&search=cqp&within=paragraph
Adad-nerari_II_RN	[?]	Ištar_d	[?]	205	355	3	0.001		0				https://korp.csc.fi/test-as/?mode=other_languages#?lang=fi&stats_reduce=word&cqp=%5Blemma%20%3D%20%22Adad-nerari_IIN%22%5D%20%5B%5D%7B0,8%7D%20%5Blemma%20%3D%20%22I%C5%A1tar%22%5D&corpus=oracc_adsd,oracc_ario,oracc_blms,oracc_cams,oracc_caspo,oracc_ctij,oracc_dcclt,oracc_dccmt,oracc_ecut,oracc_etcsri,oracc_hbtin,oracc_obmc,oracc_riao,oracc_ribo,oracc_rimanum,oracc_rinap,oracc_saao,oracc_others&search_tab=1&search=cqp&within=paragraph
Adad-nerari_II_RN	[?]	Ninurta_d	[?]	205	188	2	0.001		0				https://korp.csc.fi/test-as/?mode=other_languages#?lang=fi&stats_reduce=word&cqp=%5Blemma%20%3D%20%22Adad-nerari_IIN%22%5D%20%5B%5D%7B0,8%7D%20%5Blemma%20%3D%20%22Ninurta%22%5D&corpus=oracc_adsd,oracc_ario,oracc_blms,oracc_cams,oracc_caspo,oracc_ctij,oracc_dcclt,oracc_dccmt,oracc_ecut,oracc_etcsri,oracc_hbtin,oracc_obmc,oracc_riao,oracc_ribo,oracc_rimanum,oracc_rinap,oracc_saao,oracc_others&search_tab=1&search=cqp&within=paragraph
Adad-nerari_II_RN	[?]	Nergal_d	[?]	205	159	2	0.001		0				https://korp.csc.fi/test-as/?mode=other_languages#?lang=fi&stats_reduce=word&cqp=%5Blemma%20%3D%20%22Adad-nerari_IIN%22%5D%20%5B%5D%7B0,8%7D%20%5Blemma%20%3D%20%22Nergal%22%5D&corpus=oracc_adsd,oracc_ario,oracc_blms,oracc_cams,oracc_caspo,oracc_ctij,oracc_dcclt,oracc_dccmt,oracc_ecut,oracc_etcsri,oracc_hbtin,oracc_obmc,oracc_riao,oracc_ribo,oracc_rimanum,oracc_rinap,oracc_saao,oracc_others&search_tab=1&search=cqp&within=paragraph
Adad-nerari_II_RN	[?]	Enlil_d	[?]	205	368	1	0.0		0				https://korp.csc.fi/test-as/?mode=other_languages#?lang=fi&stats_reduce=word&cqp=%5Blemma%20%3D%20%22Adad-nerari_IIN%22%5D%20%5B%5D%7B0,8%7D%20%5Blemma%20%3D%20%22Enlil%22%5D&corpus=oracc_adsd,oracc_ario,oracc_blms,oracc_cams,oracc_caspo,oracc_ctij,oracc_dcclt,oracc_dccmt,oracc_ecut,oracc_etcsri,oracc_hbtin,oracc_obmc,oracc_riao,oracc_ribo,oracc_rimanum,oracc_rinap,oracc_saao,oracc_others&search_tab=1&search=cqp&within=paragraph
Adad-nerari_II_RN	[?]	Adad_d	[?]	205	323	1	0.0		0				https://korp.csc.fi/test-as/?mode=other_languages#?lang=fi&stats_reduce=word&cqp=%5Blemma%20%3D%20%22Adad-nerari_IIN%22%5D%20%5B%5D%7B0,8%7D%20%5Blemma%20%3D%20%22Adad%22%5D&corpus=oracc_adsd,oracc_ario,oracc_blms,oracc_cams,oracc_caspo,oracc_ctij,oracc_dcclt,oracc_dccmt,oracc_ecut,oracc_etcsri,oracc_hbtin,oracc_obmc,oracc_riao,oracc_ribo,oracc_rimanum,oracc_rinap,oracc_saao,oracc_others&search_tab=1&search=cqp&within=paragraph
