riao/Q004632	Neo-Assyrian	Royal Inscription	Shalmaneser_III_RN
riao/Q004633	Neo-Assyrian	Royal Inscription	Shalmaneser_III_RN
riao/Q004634	Neo-Assyrian	Royal Inscription	Shalmaneser_III_RN
riao/Q004635	Neo-Assyrian	Royal Inscription	Shalmaneser_III_RN
riao/Q004636	Neo-Assyrian	Royal Inscription	Shalmaneser_III_RN
riao/Q004637	Neo-Assyrian	Royal Inscription	Shalmaneser_III_RN
riao/Q004638	Neo-Assyrian	Royal Inscription	Shalmaneser_III_RN
riao/Q004639	Neo-Assyrian	Royal Inscription	Shalmaneser_III_RN
riao/Q004640	Neo-Assyrian	Royal Inscription	Shalmaneser_III_RN
riao/Q004642	Neo-Assyrian	Royal Inscription	Shalmaneser_III_RN
riao/Q004644	Neo-Assyrian	Royal Inscription	Shalmaneser_III_RN
riao/Q004645	Neo-Assyrian	Royal Inscription	Shalmaneser_III_RN
riao/Q004646	Neo-Assyrian	Royal Inscription	Shalmaneser_III_RN
riao/Q004648	Neo-Assyrian	Royal Inscription	Shalmaneser_III_RN
riao/Q004649	Neo-Assyrian	Royal Inscription	Shalmaneser_III_RN
riao/Q004653	Neo-Assyrian	Royal Inscription	Shalmaneser_III_RN
riao/Q004654	Neo-Assyrian	Royal Inscription	Shalmaneser_III_RN
riao/Q004655	Neo-Assyrian	Royal Inscription	Shalmaneser_III_RN
riao/Q004656	Neo-Assyrian	Royal Inscription	Shalmaneser_III_RN
riao/Q004657	Neo-Assyrian	Royal Inscription	Shalmaneser_III_RN
riao/Q004658	Neo-Assyrian	Royal Inscription	Shalmaneser_III_RN
riao/Q004660	Neo-Assyrian	Royal Inscription	Shalmaneser_III_RN
riao/Q004661	Neo-Assyrian	Royal Inscription	Shalmaneser_III_RN
riao/Q004663	Neo-Assyrian	Royal Inscription	Shalmaneser_III_RN
riao/Q004698	Neo-Assyrian	Royal Inscription	Shalmaneser_III_RN
riao/Q004699	Neo-Assyrian	Royal Inscription	Shalmaneser_III_RN
riao/Q004700	Neo-Assyrian	Royal Inscription	Shalmaneser_III_RN
riao/Q004701	Neo-Assyrian	Royal Inscription	Shalmaneser_III_RN
riao/Q004702	Neo-Assyrian	Royal Inscription	Shalmaneser_III_RN
riao/Q004708	Neo-Assyrian	Royal Inscription	Shalmaneser_III_RN
riao/Q004713	Neo-Assyrian	Royal Inscription	Shalmaneser_III_RN
riao/Q004722	Neo-Assyrian	Royal Inscription	Shalmaneser_III_RN
riao/Q004724	Neo-Assyrian	Royal Inscription	Shalmaneser_III_RN
riao/Q004725	Neo-Assyrian	Royal Inscription	Shalmaneser_III_RN
riao/Q004726	Neo-Assyrian	Royal Inscription	Shalmaneser_III_RN
riao/Q004737	Neo-Assyrian	Royal Inscription	Shalmaneser_III_RN
riao/Q004738	Neo-Assyrian	Royal Inscription	Šamši-Adad_V_RN
riao/Q004739	Neo-Assyrian	Royal Inscription	Šamši-Adad_V_RN
riao/Q004741	Neo-Assyrian	Royal Inscription	Šamši-Adad_V_RN
riao/Q004742	Neo-Assyrian	Royal Inscription	Šamši-Adad_V_RN
riao/Q004743	Neo-Assyrian	Royal Inscription	Šamši-Adad_V_RN
riao/Q004744	Neo-Assyrian	Royal Inscription	Šamši-Adad_V_RN
riao/Q004749	Neo-Assyrian	Royal Inscription	Adad-nerari_III_RN
riao/Q004751	Neo-Assyrian	Royal Inscription	Adad-nerari_III_RN
riao/Q004753	Neo-Assyrian	Royal Inscription	Adad-nerari_III_RN
riao/Q004754	Neo-Assyrian	Royal Inscription	Adad-nerari_III_RN
riao/Q004755	Neo-Assyrian	Royal Inscription	Adad-nerari_III_RN
riao/Q004756	Neo-Assyrian	Royal Inscription	Adad-nerari_III_RN
riao/Q004758	Neo-Assyrian	Royal Inscription	Adad-nerari_III_RN
riao/Q004759	Neo-Assyrian	Royal Inscription	Adad-nerari_III_RN
riao/Q004762	Neo-Assyrian	Royal Inscription	Adad-nerari_III_RN
riao/Q004763	Neo-Assyrian	Royal Inscription	Adad-nerari_III_RN
riao/Q004769	Neo-Assyrian	Royal Inscription	Adad-nerari_III_RN
riao/Q004781	Neo-Assyrian	Royal Inscription	Adad-nerari_III_RN
riao/Q004783	Neo-Assyrian	Royal Inscription	Adad-nerari_III_RN
riao/Q004784	Neo-Assyrian	Royal Inscription	Adad-nerari_III_RN
riao/Q004796	Neo-Assyrian	Royal Inscription	Adad-nerari_III_RN
riao/Q006013	Neo-Assyrian	Royal Inscription	Aššur-dan_II_RN
riao/Q006014	Neo-Assyrian	Royal Inscription	Aššur-dan_II_RN
riao/Q006015	Neo-Assyrian	Royal Inscription	Aššur-dan_II_RN
riao/Q006016	Neo-Assyrian	Royal Inscription	Aššur-dan_II_RN
riao/Q006020	Neo-Assyrian	Royal Inscription	Adad-nerari_II_RN
riao/Q006021	Neo-Assyrian	Royal Inscription	Adad-nerari_II_RN
riao/Q006022	Neo-Assyrian	Royal Inscription	Adad-nerari_II_RN
riao/Q006023	Neo-Assyrian	Royal Inscription	Adad-nerari_II_RN
riao/Q006033	Neo-Assyrian	Royal Inscription	Tukulti-Ninurta_II_RN
riao/Q006035	Neo-Assyrian	Royal Inscription	Tukulti-Ninurta_II_RN
riao/Q006687	Neo-Assyrian	Royal Inscription	Shalmaneser_IV_RN
riao/Q006688	Neo-Assyrian	Royal Inscription	Shalmaneser_IV_RN
riao/Q006691	Neo-Assyrian	Royal Inscription	Aššur-dan_III_RN
riao/Q006692	Neo-Assyrian	Royal Inscription	Aššur-nerari_V_RN
ribo-babylon6/Q006323	Neo-Assyrian	Royal Inscription	Sargon_II_RN
ribo-babylon6/Q006325	Neo-Assyrian	Royal Inscription	Sargon_II_RN
rinap-rinap1/Q003418	Neo-Assyrian	Royal Inscription	Tiglath-pileser_III_RN
rinap-rinap1/Q003419	Neo-Assyrian	Royal Inscription	Tiglath-pileser_III_RN
rinap-rinap1/Q003421	Neo-Assyrian	Royal Inscription	Tiglath-pileser_III_RN
rinap-rinap1/Q003422	Neo-Assyrian	Royal Inscription	Tiglath-pileser_III_RN
rinap-rinap1/Q003428	Neo-Assyrian	Royal Inscription	Tiglath-pileser_III_RN
rinap-rinap1/Q003429	Neo-Assyrian	Royal Inscription	Tiglath-pileser_III_RN
rinap-rinap1/Q003430	Neo-Assyrian	Royal Inscription	Tiglath-pileser_III_RN
rinap-rinap1/Q003431	Neo-Assyrian	Royal Inscription	Tiglath-pileser_III_RN
rinap-rinap1/Q003437	Neo-Assyrian	Royal Inscription	Tiglath-pileser_III_RN
rinap-rinap1/Q003441	Neo-Assyrian	Royal Inscription	Tiglath-pileser_III_RN
rinap-rinap1/Q003448	Neo-Assyrian	Royal Inscription	Tiglath-pileser_III_RN
rinap-rinap1/Q003450	Neo-Assyrian	Royal Inscription	Tiglath-pileser_III_RN
rinap-rinap1/Q003452	Neo-Assyrian	Royal Inscription	Tiglath-pileser_III_RN
rinap-rinap1/Q003453	Neo-Assyrian	Royal Inscription	Tiglath-pileser_III_RN
rinap-rinap1/Q003454	Neo-Assyrian	Royal Inscription	Tiglath-pileser_III_RN
rinap-rinap1/Q003459	Neo-Assyrian	Royal Inscription	Tiglath-pileser_III_RN
rinap-rinap1/Q003460	Neo-Assyrian	Royal Inscription	Tiglath-pileser_III_RN
rinap-rinap1/Q003461	Neo-Assyrian	Royal Inscription	Tiglath-pileser_III_RN
rinap-rinap1/Q003462	Neo-Assyrian	Royal Inscription	Tiglath-pileser_III_RN
rinap-rinap1/Q003464	Neo-Assyrian	Royal Inscription	Tiglath-pileser_III_RN
rinap-rinap1/Q003466	Neo-Assyrian	Royal Inscription	Tiglath-pileser_III_RN
rinap-rinap3/Q003475	Neo-Assyrian	Royal Inscription	Sennacherib_RN
rinap-rinap3/Q003476	Neo-Assyrian	Royal Inscription	Sennacherib_RN
rinap-rinap3/Q003477	Neo-Assyrian	Royal Inscription	Sennacherib_RN
rinap-rinap3/Q003478	Neo-Assyrian	Royal Inscription	Sennacherib_RN
rinap-rinap3/Q003479	Neo-Assyrian	Royal Inscription	Sennacherib_RN
rinap-rinap3/Q003481	Neo-Assyrian	Royal Inscription	Sennacherib_RN
rinap-rinap3/Q003482	Neo-Assyrian	Royal Inscription	Sennacherib_RN
rinap-rinap3/Q003483	Neo-Assyrian	Royal Inscription	Sennacherib_RN
rinap-rinap3/Q003484	Neo-Assyrian	Royal Inscription	Sennacherib_RN
rinap-rinap3/Q003486	Neo-Assyrian	Royal Inscription	Sennacherib_RN
